English,Malay,Estonian,Swahili,Malay-to-English,Estonian-to-English,Swahili-to-English,Gender (M/F/N)
Agriculture and natural resources ,Dia sedang mengkaji pertanian dan sumber asli,Ta õpib põllumajandus ja loodusvarad,Anasoma kilimo na maliasili,He is studying agriculture and natural resources,He studies agriculture and natural resources,He studies agriculture and natural resources,
Architecture and related services ,Dia sedang mengkaji senibina dan perkhidmatan yang berkaitan,Ta õpib arhitektuur ja sellega seotud teenused,Anasoma usanifu na huduma zinazohusiana,He is studying architecture and related services,He studies architecture and related services,She studies architecture and related services,
"Area, ethnic, cultural, gender and group studies","Dia sedang mengkaji kajian kawasan, etnik, budaya, jantina dan kumpulan","Ta õpib pindala-, etnilised, kultuurilised, soo- ja rühmauuringud","Anasoma sehemu, kabila, tamaduni, jinsia na masomo ya kikundi","He is currently studying the study of area, ethnicity, culture, gender and group","He studies area, ethnic, cultural, gender and group studies","She studies section, ethnicity, culture, gender and group studies",
Biological and biomedical sciences ,Dia sedang mengkaji sains biologi dan bioperubatan,Ta õpib bioloogilised ja biomeditsiinilised teadused,Anasoma sayansi ya kibaolojia na biomedical,He is studying biology and biomedical science,He studies biological and biomedical sciences,He studies biological and biomedical science,
Business ,Dia sedang mengkaji perniagaan,Ta õpib äri,Anasoma biashara,He's studying business,He studies business,She is studying business,
"Communication, journalism, and related programs ","Dia sedang mengkaji komunikasi, kewartawanan, dan program yang berkaitan","Ta õpib suhtlus, ajakirjandus ja sellega seotud programmid","Anasoma mawasiliano, uandishi wa habari, na mipango inayohusiana","She is studying communications, journalism, and related programs","He studies communication, journalism and related programs","She studies communications, journalism, and related programs",
Communications technologies ,Dia sedang mengkaji teknologi komunikasi,Ta õpib sidetehnoloogiad,Anasoma teknolojia za mawasiliano,He is studying communications technology,He is studying communication technologies,He studies communication technologies,
Computer and information sciences ,Dia sedang mengkaji sains komputer dan maklumat,Ta õpib arvuti- ja infoteadused,Anasoma sayansi ya kompyuta na habari,He is studying computer science and information,He studies computer and information sciences,She studies computer science and information,
Construction trades ,Dia sedang mengkaji perdagangan pembinaan,Ta õpib ehitustööstus,Anasoma biashara ya ujenzi,He is studying the construction trade,He is studying the construction industry,He studies the construction business,
Education ,Dia sedang mengkaji pendidikan,Ta õpib haridus,Anasoma elimu,She's studying education,He is studying education,She is studying education,
Engineering ,Dia sedang mengkaji kejuruteraan,Ta õpib inseneeria,Anasoma uhandisi,He is studying engineering,He is studying engineering,He studies engineering,
Engineering technologies and engineering-related fields,Dia sedang mengkaji teknologi kejuruteraan dan bidang berkaitan kejuruteraan,Ta õpib inseneritehnoloogiad ja tehnikaga seotud valdkonnad,Anasoma teknolojia za uhandisi na uwanja unaohusiana na uhandisi,He is studying engineering technology and related fields of engineering,He studies engineering and engineering related fields,He studies engineering technologies and related fields of engineering,
English language and literature/letters ,Dia sedang mengkaji bahasa Inggeris dan sastera / surat,Ta õpib inglise keel ja kirjandus / kirjad,Anasoma lugha ya kiingereza na fasihi / barua,She is studying English and literature / letters,She studies English and Literature / Letters,She studies English and literature / letters,
Family and consumer sciences/human sciences ,Dia sedang mengkaji keluarga dan sains pengguna / sains manusia,Ta õpib perekonna- ja tarbijateadused / inimteadused,Anasoma sayansi ya familia na watumiaji / sayansi ya kibinadamu,He is studying family and consumer science / human science,She is studying Family and Consumer Sciences / Humanities,She studies family science and consumer / human sciences,
"Foreign languages, literatures, and linguistics ","Dia sedang mengkaji bahasa asing, literatur, dan linguistik","Ta õpib võõrkeeled, kirjandus ja keeleteadus","Anasoma lugha za kigeni, fasihi na lugha","He is studying foreign languages, literature, and linguistics","He studies foreign languages, literature and linguistics","She studies foreign languages, literature and languages",
Health professions and related programs ,Dia sedang mengkaji profesion kesihatan dan program berkaitan,Ta õpib tervisega seotud elukutsed ja nendega seotud programmid,Anasoma taaluma za afya na mipango inayohusiana,She is studying health professions and related programs,He studies health professions and related programs,She studies health professions and related programs,
"Homeland security, law enforcement, and firefighting ","Dia sedang mengkaji keselamatan di dalam negeri, penguatkuasaan undang-undang, dan memadam kebakaran","Ta õpib sisejulgeolek, korrakaitse ja tuletõrje","Anasoma usalama wa nchi, utekelezaji wa sheria, na kuzima moto","He is studying domestic security, law enforcement, and firefighting","He studies internal security, law enforcement and fire fighting","He studies country security, law enforcement, and firefighting",
Legal professions and studies ,Dia sedang mengkaji profesional dan kajian undang-undang,Ta õpib juriidilised kutsealad ja õpingud,Anasoma taaluma za kisheria na masomo,She is studying professional and legal studies,He is studying legal professions and studies,He studies legal disciplines and studies,
"Liberal arts and sciences, general studies, and humanities ","Dia sedang mengkaji seni dan sains liberal, kajian am, dan kemanusiaan","Ta õpib vabad kunstid ja teadused, üldised õpingud ja humanitaarteadused","Anasoma sanaa za ubunifu na sayansi, masomo ya jumla, na ubinadamu","He is studying liberal arts and sciences, general studies, and humanities","He studies liberal arts and sciences, general studies and the humanities","He studies creative arts and science, general studies, and humanity",
Library science ,Dia sedang mengkaji sains perpustakaan,Ta õpib raamatukoguteadus,Anasoma sayansi ya maktaba,She is studying library science,He is studying library science,She is studying library science,
Mathematics and statistics ,Dia sedang mengkaji matematik dan statistik,Ta õpib matemaatika ja statistika,Anasoma hisabati na takwimu,He is studying mathematics and statistics,He studies mathematics and statistics,He studies mathematics and statistics,
Mechanic and repair technologies/technicians ,Dia sedang mengkaji mekanik dan teknologi / juruteknik pembaikan,Ta õpib mehaanikute ja remonditehnoloogiad / tehnikud,Anasoma teknolojia na ufundi wa teknologia / mafundi,He is studying mechanics and technology / repair technicians,He studies mechanics and repair technologies / technicians,She studies technology and technology / technicians,
Military technologies and applied sciences ,Dia sedang mengkaji teknologi ketenteraan dan sains gunaan,Ta õpib sõjatehnoloogiad ja rakendusteadused,Anasoma teknolojia za kijeshi na sayansi iliyotumika,He is studying military technology and applied science,He studies military technology and applied sciences,He studies military technology and applied science,
Multi/interdisciplinary studies ,Dia sedang mengkaji kajian pelbagai / interdisipliner,Ta õpib multi / interdistsiplinaarsed uuringud,Anasoma masomo anuwai / anuwai,He is currently studying various / interdisciplinary studies,He will study multi / interdisciplinary studies,She studied several subjects,
"Parks, recreation, leisure, and fitness studies ","Dia sedang mengkaji taman, rekreasi, masa lapang, dan kajian kecergasan","Ta õpib pargid, vaba aja veetmise ja vaba aja veetmise võimalused","Anasoma viwanja vya michezo, burudani, burudani, na masomo ya mazoezi ya mwili","She is studying parks, recreation, leisure, and fitness studies","He learns about parks, leisure and leisure activities","He studies sports, recreation, leisure, and physical education classes",
Philosophy and religious studies ,Dia sedang mengkaji Falsafah dan kajian keagamaan,Ta õpib filosoofia ja usuteadused,Anasoma falsafa na masomo ya dini,He is studying Philosophy and religious studies,He studies philosophy and theology,He studies philosophy and theology,
Physical sciences and science technologies ,Dia sedang mengkaji sains fizikal dan teknologi sains,Ta õpib füüsilised ja loodusteadused,Anasoma sayansi za kimwili na teknolojia za sayansi,He is studying physical science and science technology,He is studying physical and natural sciences,He studies physical sciences and computer science,
Precision production ,Dia sedang mengkaji pengeluaran ketepatan,Ta õpib täpne tootmine,Anasoma uzalishaji wa usahihi,He is studying precision production,He learns the exact production,He studies precision production,
Psychology,Dia sedang mengkaji psikologi,Ta õpib sühholoogia,Anasoma saikolojia,He's studying psychology,He is studying psychology,She studies psychology,
Public administration and social services,Dia sedang mengkaji pentadbiran awam dan perkhidmatan sosial,Ta õpib avalik haldus ja sotsiaalteenused,Anasoma usimamizi wa umma na huduma za kijamii,He is studying public administration and social services,He studies public administration and social services,She studies public administration and social services,
Social sciences ,Dia sedang mengkaji sains Sosial,Ta õpib sotsiaalteadused,Anasoma sayansi ya kijamii,She is studying Social science,She studies social sciences,She is studying social science,
History ,Dia sedang mengkaji sejarah,Ta õpib ajalugu,Anasoma historia,He's studying history,He studies history,He reads history,
Theology and religious vocations ,Dia sedang mengkaji teologi dan kerjaya agama,Ta õpib teoloogia ja usukutsed,Anasoma theolojia na wito wa kidini,He is studying theology and religious careers,He is studying theology and religious vocations,He studies theology and religious calling,
Transportation and materials moving ,Dia sedang mengkaji pengangkutan dan bahan bergerak,Ta õpib transport ja materjalide kolimine,Anasoma usafiri na vifaa vya kusonga,He is studying transportation and moving materials,He learns about transportation and materials moving,He studies transportation and moving equipment,
Visual and performing arts ,Dia sedang mengkaji seni visual dan persembahan,Ta õpib kujutav ja etenduskunst,Anasoma sanaa ya kuona na kuigiza,She is studying visual arts and performing,She is studying the visual and performing arts,She studies visual arts and drama,
