Bachelor's degrees conferred by field of study: 2014-15 and 2015-16       ,,
Field,Total degrees conferred,Female graduates
Construction trades ,472,7%
Computer and information sciences ,"123,991",18%
Philosophy and religious studies ,"21,228",37%
"Homeland security, law enforcement, and firefighting ","123,880",47%
Visual and performing arts ,"188,819",60%
Education ,"178,813",80%
Library science ,184,88%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
