Bachelor's degrees conferred by postsecondary institutions by gender and field of study: 2014-15 and 2015-16       ,,,,,,,,
,2014-15 Male,2015-16 Male,2014-15 Female,2015-16 Female,2014-15 Total,2014-15 % Female,2015-16 Total,2015-16 % female
,,,,,,,,
,,,,,,,,
"   All fields, total ..........................................","812,693","821,779","1,082,276","1,098,939","1,894,969",0.57,"1,920,718",0.57
Agriculture and natural resources .........................,"17,585","17,622","18,693","19,383","36,278",0.52,"37,005",0.52
Architecture and related services ..................................,"5,116","4,854","3,974","3,969","9,090",0.44,"8,823",0.45
"Area, ethnic, cultural, gender, and group studies ...................................","2,294","2,227","5,489","5,613","7,783",0.71,"7,840",0.72
Biological and biomedical sciences .......................................,"45,104","45,579","64,800","68,170","109,904",0.59,"113,749",0.60
Business ......................................................,"191,288","196,312","172,453","175,382","363,741",0.47,"371,694",0.47
,,,,,,,,
"Communication, journalism, and related programs ...........................................","31,853","32,439","58,805","60,115","90,658",0.65,"92,554",0.65
Communications technologies .......................................................................,"3,367","3,099","1,768","1,725","5,135",0.34,"4,824",0.36
Computer and information sciences ......................................,"48,844","52,333","10,742","12,072","59,586",0.18,"64,405",0.19
Construction trades ..................................................,229,208,18,17,247,0.07,225,0.08
Education ............................................................,"18,467","17,427","73,129","69,790","91,596",0.80,"87,217",0.80
,,,,,,,,
Engineering ...........................................................,"78,249","84,516","19,603","22,334","97,852",0.20,"106,850",0.21
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,693","14,545","1,918","2,003","16,611",0.12,"16,548",0.12
English language and literature/letters ...................................,"14,055","12,776","31,796","30,019","45,851",0.69,"42,795",0.70
Family and consumer sciences/human sciences .............................,"3,012","2,982","21,572","22,407","24,584",0.88,"25,389",0.88
"Foreign languages, literatures, and linguistics .................................","6,066","5,755","13,427","12,672","19,493",0.69,"18,427",0.69
,,,,,,,,
Health professions and related programs .............................,"33,658","36,261","182,570","192,635","216,228",0.84,"228,896",0.84
"Homeland security, law enforcement, and firefighting ............................","33,640","32,598","29,083","28,559","62,723",0.46,"61,157",0.47
Legal professions and studies ..........................................,"1,348","1,297","3,072","2,946","4,420",0.70,"4,243",0.69
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,136","16,145","27,513","27,516","43,649",0.63,"43,661",0.63
Library science ............................................,16,6,83,79,99,0.84,85,0.93
,,,,,,,,
Mathematics and statistics ........................................,"12,462","13,088","9,392","9,689","21,854",0.43,"22,777",0.43
Mechanic and repair technologies/technicians ....................................,370,359,25,27,395,0.06,386,0.07
Military technologies and applied sciences .............................,225,290,51,68,276,0.18,358,0.19
Multi/interdisciplinary studies ......................................,"15,930","16,247","31,626","32,547","47,556",0.67,"48,794",0.67
"Parks, recreation, leisure, and fitness studies ........................","25,950","26,709","23,058","24,209","49,008",0.47,"50,918",0.48
,,,,,,,,
Philosophy and religious studies ......................................,"7,004","6,372","4,067","3,785","11,071",0.37,"10,157",0.37
Physical sciences and science technologies ............................,"18,480","18,666","11,562","11,811","30,042",0.38,"30,477",0.39
Precision production .............................................,33,28,15,22,48,0.31,50,0.44
Psychology ..........................................................…,"26,803","26,279","90,770","91,161","117,573",0.77,"117,440",0.78
Public administration and social services .............................................…,"6,146","6,025","28,218","28,407","34,364",0.82,"34,432",0.83
,,,,,,,,
Social sciences and history ...............................,"85,484","81,300","81,487","79,930","166,971",0.49,"161,230",0.50
  Social sciences .................................................,"68,698","66,013","70,235","69,620","138,933",0.51,"135,633",0.51
  History ......................................................,"16,786","15,287","11,252","10,310","28,038",0.40,"25,597",0.40
Theology and religious vocations .................................,"6,616","6,749","3,097","3,055","9,713",0.32,"9,804",0.31
Transportation and materials moving ..................................,"4,146","3,976",584,553,"4,730",0.12,"4,529",0.12
Visual and performing arts .............................................,"38,024","36,710","57,816","56,269","95,840",0.60,"92,979",0.61
,,,,,,,,
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business, management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.",,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2015 and Fall 2016, Completions component. (This table was prepared August 2017.)  ",,,,,,,,
